(complement particle),得;得,de
to hold; to hug; carry in one's arms; to cradle,抱;抱,bào
to use; to make; to cause; enable; envoy; messenger,使;使,shǐ
receive; accept; collect; to harvest,收;收,shōu
beautiful,美丽;美麗,měi lì
any; whatever; whichever,任何;任何,rèn hé
to hate; loathe; disgusting; troublesome,讨厌;討厭,tǎo yàn
after all; in the end (used in a question),到底;到底,dào dǐ
to dare,敢;敢,gǎn
to win; to beat; to profit,赢;贏,yíng
complete; whole; totally,完全;完全,wán quán
"part; portion; (mw for documents, papers, jobs, etc.)",份;份,fèn
"to leave (behind, a message); to retain; to stay",留;留,liú
to change; alter; to transform,改变;改變,gǎi biàn
follow; from; by; through,由;由,yóu
fragrant; savory (Kangxi radical 186),香;香,xiāng
persist in; persevere,坚持;堅持,jiān chí
express; show; indicate,表示;表示,biǎo shì
to shine; illuminate; according to,照;照,zhào
platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters),台;台,tái
be moved; to touch emotionally,感动;感動,gǎn dòng
"no matter (what, how, etc.); regardless of",不管;不管,bù guǎn
deliver; turn over; intersect; to pay (money); friendship,交;交,jiāo
happen; occur; take place,发生;發生,fā shēng
abandon; renounce; give up,放弃;放棄,fàng qì
perhaps; probably; maybe,也许;也許,yě xǔ
feeling; emotion; sensation,感情;感情,gǎn qíng
direct; immediate,直接;直接,zhí jiē
light; ray; bright; only; merely; used up,光;光,guāng
sure; definite; affirm; approve,肯定;肯定,kěn dìng
bitter; miserable,苦;苦,kǔ
by means of; through (a method); pass through; via,通过;通過,tōng guò
nonsense; bored; silly; stupid,无聊;無聊,wú liáo
full; abbreviation for Manchurian,满;滿,mǎn
fake; if; borrow | vacation; holiday,假;假,jiǎ | jià
to suit; to fit,适合;適合,shì hé
society,社会;社會,shè huì
to wipe; to rub; to polish,擦;擦,cā
unexpectedly; to one's surprise; go so far as to,竟然;竟然,jìng rán
do; manage; to handle; make,弄;弄,nòng
to use; employ; apply; administer; manipulate,使用;使用,shǐ yòng
deep; profound; dark (of colors),深;深,shēn
wake up,醒;醒,xǐng
be worth; deserve,值得;值得,zhí de
sleepy; surround; hard-pressed,困;困,kùn
hang; put up; suspend,挂;挂,guà
sheet; (mw for articles); piece of writing,篇;篇,piān
brilliant; spectacular; wonderful,精彩;精彩,jīng cǎi
enough; to reach,够;夠,gòu
safe; safety; secure; security,安全;安全,ān quán
low; to lower (one's head); droop,低;低,dī
at the same time; simultaneously,同时;同時,tóng shí
stick; club; good; excellent,棒;棒,bàng
circumstance; state of affairs; situation,情况;情況,qíng kuàng
hard; exhausting; toilsome; laborious,辛苦;辛苦,xīn kǔ
"accept; receive (honors, etc.)",接受;接受,jiē shòu
news; information,消息;消息,xiāo xi
carry on; carry out; undertake,进行;進行,jìn xíng
as a result; thus; therefore,于是;于是,yú shì
whether (or not); if,是否;是否,shì fǒu
if; suppose; in case,要是;要是,yào shi
regarding; as far as sth. is concerned; with regards to; for,对于;對于,duì yú
capability; capable; ability,能力;能力,néng lì
to recall; recollect,回忆;回憶,huí yì
information; news; message,信息;信息,xìn xī
sunshine; sunlight,阳光;陽光,yáng guāng
fire (Kangxi radical 86),火;火,huǒ
flavor; taste,味道;味道,wèi dao
even if; even though,即使;即使,jí shǐ
to collapse; to fall; fail; to exchange | to pour; contrary to expectations,倒;倒,dǎo | dào
manner; air; appearance; looks,样子;樣子,yàng zi
could it be that ...?; don't tell me ...,难道;難道,nán dào
whole; entire; complete,全部;全部,quán bù
pressure; stress,压力;壓力,yā lì
no matter what; regardless of whether...,无论;無論,wú lùn
soup; broth,汤;湯,tāng
to envy; admire,羡慕;羨慕,xiàn mù
originally; at first,本来;本來,běn lái
skin,皮肤;皮膚,pí fū
nature; natural,自然;自然,zì rán
method; way; means,方法;方法,fāng fǎ
develop; development; growth,发展;發展,fā zhǎn
indeed; in truth; reliable,确实;確實,què shí
disorder; confusion; arbitrarily,乱;亂,luàn
effect; result,效果;效果,xiào guǒ
a time; everywhere; turn; (mw for times or turns),遍;遍,biàn
it's a pity; regrettable; too bad,可惜;可惜,kě xī
advertisement; a commercial,广告;廣告,guǎng gào
go on a diet; lose weight,减肥;減肥,jiǎn féi
cause; reason,原因;原因,yuán yīn
comprehend; understand,理解;理解,lǐ jiě
appraise; estimate,估计;估計,gū jì
speed; rate; velocity,速度;速度,sù dù
pitiful; poor; pathetic,可怜;可憐,kě lián
profession; specialized field of study; major,专业;專業,zhuān yè
broken; damaged; to split,破;破,pò
to take; get; choose,取;取,qǔ
undergo; to experience,经历;經曆,jīng lì
to protect; to defend,保护;保護,bǎo hù
normal; regular; ordinary,正常;正常,zhèng cháng
relaxed; gentle; easygoing,轻松;輕松,qīng sōng
then; at that time; while,当时;當時,dāng shí
economy; economic,经济;經濟,jīng jì
honest; in reality; honestly; indeed; certainly,实在;實在,shí zài
romantic,浪漫;浪漫,làng màn
empty; sky | leave blank; leisure,空;空,kōng | kòng
sugar; candy; sweets,糖;糖,táng
integrate; link; connection; contact,联系;聯系,lián xì
to explain,解释;解釋,jiě shì
to propose; to suggest; recommend,建议;建議,jiàn yì
among; in; included among these,其中;其中,qí zhōng
"finger; to point (at, to, out); refer to",指;指,zhǐ
technology; technique; skill,技术;技術,jì shù
about; approximate; around | left and right,左右;左右,zuǒ yòu
(colloquial) two (people),俩;倆,liǎ
even (to the point of); so much so that,甚至;甚至,shèn zhì
always; at all times,从来;從來,cóng lái
international,国际;國際,guó jì
lose (something); throw; put aside,丢;丟,diū
website,网站;網站,wǎng zhàn
to talk; to chat; discuss,谈;談,tán
a mission; an assignment; a task,任务;任務,rèn wu
grave; serious; critical,严重;嚴重,yán zhòng
belly; abdomen; stomach,肚子;肚子,dù zi
course of events; process,过程;過程,guò chéng
sad; grieve; brokenhearted,伤心;傷心,shāng xīn
feel unwell; to suffer pain,难受;難受,nán shòu
to regret; repent,后悔;後悔,hòu huǐ
at least; (to say the) least,至少;至少,zhì shǎo
reporter; journalist,记者;記者,jì zhě
to stop; to halt; to park (a car),停;停,tíng
to supply; provide; furnish,提供;提供,tí gōng
to push; to scrape; to decline; postpone; elect,推;推,tuī
manner; bearing; attitude,态度;態度,tài du
education,教育;教育,jiào yù
(an official) standard; norm; criterion,标准;標准,biāo zhǔn
recline; lie down (on back or side),躺;躺,tǎng
terrible; formidable; fierce; cool; awesome,厉害;厲害,lì hai
bottom; background; base,底;底,dǐ
part; share; section,部分;部分,bù fen
travel,旅行;旅行,lǚ xíng
cloud; Yunnan province | say; speak,云;雲,yún
be defeated; fail; lose,失败;失敗,shī bài
to increase; to raise; add,增加;增加,zēng jiā
"to transport; to lose (a game, etc.)",输;輸,shū
plan; project,计划;計劃,jì huà
content; substance; details,内容;內容,nèi róng
proof; testify; confirm; certificate,证明;證明,zhèng míng
distance; be apart; away from,距离;距離,jù lí
to carry; to lift; to raise (an issue),提;提,tí
to study; to research,研究;研究,yán jiū
supervise; manage,管理;管理,guǎn lǐ
light; easy; gentle; soft,轻;輕,qīng
knife; blade (Kangxi radical 18),刀;刀,dāo
go smoothly; without a hitch; successful,顺利;順利,shùn lì
often; frequently; more often than not,往往;往往,wǎng wǎng
hot (spicy),辣;辣,là
to cheat; to swindle; deceive,骗;騙,piàn
answer; solution,答案;答案,dá àn
remind; call attention to; warn of,提醒;提醒,tí xǐng
chocolate,巧克力;巧克力,qiǎo kè lì
explain; explanation; illustrate; to show,说明;說明,shuō míng
surpass; exceed; outstrip,超过;超過,chāo guò
many; a lot; much,许多;許多,xǔ duō
think over; consider,考虑;考慮,kǎo lǜ
as one pleases; informal; random; casual,随便;隨便,suí biàn
rich; enrich; abundant; plentiful,丰富;豐富,fēng fù
disappointed; lose hope,失望;失望,shī wàng
again; anew; once more,重新;重新,chóng xīn
direction; orientation,方向;方向,fāng xiàng
formal; official,正式;正式,zhèng shì
worried; vexed,烦恼;煩惱,fán nǎo
have as remainder; be left over; surplus,剩;剩,shèng
wealthy,富;富,fù
excite; agitate,激动;激動,jī dòng
to waste; squander,浪费;浪費,làng fèi
crucial; key; pivotal,关键;關鍵,guān jiàn
art,艺术;藝術,yì shù
to excuse; forgive; to pardon,原谅;原諒,yuán liàng
salt,盐;鹽,yán
to guess,猜;猜,cāi
to graduate; to finish school,毕业;畢業,bì yè
familiar with; know well,熟悉;熟悉,shú xī
trouble (someone); troubling; bothersome,麻烦;麻煩,má fan
self-confidence,自信;自信,zì xìn
brave; courageous,勇敢;勇敢,yǒng gǎn
article; essay,文章;文章,wén zhāng
put on; to wear; to respect,戴;戴,dài
to save; economize; omit; province,省;省,shěng
another; in addition; besides,另外;另外,lìng wài
to refuse; to decline; to reject,拒绝;拒絕,jù jué
action; activity; effect,作用;作用,zuò yòng
thick (for flat things); generous,厚;厚,hòu
ideal,理想;理想,lǐ xiǎng
error; mistake; mistaken,错误;錯誤,cuò wù
very; fully; 100%,十分;十分,shí fēn
movement; motion; action,动作;動作,dòng zuò
earn; make a profit,赚;賺,zhuàn
due to; owing to; as a result of; thanks to,由于;由于,yóu yú
aspect; field; side,方面;方面,fāng miàn
the Earth; planet,地球;地球,dì qiú
nature; personality; temperament,性格;性格,xìng gé
to stroll; to visit; go window shopping,逛;逛,guàng
sign up; apply,报名;報名,bào míng
shift to an earlier date; bring forward; to advance,提前;提前,tí qián
not only; not just,不仅;不僅,bù jǐn
air,空气;空氣,kōng qì
queue; stand in line,排队;排隊,pái duì
quality; mass (physics),质量;質量,zhì liàng
almost; about the same,差不多;差不多,chà bu duō
esteem; to respect; to value; to honor,尊重;尊重,zūn zhòng
responsibility; blame; duty,责任;責任,zé rèn
and; besides; moreover,并且;並且,bìng qiě
nervous; tension; strain,紧张;緊張,jǐn zhāng
knowledge; intellectual,知识;知識,zhī shi
apply for; application,申请;申請,shēn qǐng
active; positive; energetic,积极;積極,jī jí
sour; sore; ache,酸;酸,suān
(a person's) age,年龄;年齡,nián líng
for example; for instance; such as,比如;比如,bǐ rú
therefore; thus; that is why; because of this,因此;因此,yīn cǐ
occasionally; once in a while; sometimes,偶尔;偶爾,ǒu ěr
probably; roughly; approximate,大概;大概,dà gài
exist; to deposit; to store,存;存,cún
arrange; to plan,安排;安排,ān pái
child; children,儿童;兒童,ér tóng
we (including the listener); us; our,咱们;咱們,zán men
since; given that; now that,既然;既然,jì rán
go shopping; buy goods,购物;購物,gòu wù
cannot endure; unbearable; can't stand,受不了;受不了,shòu bu liǎo
language,语言;語言,yǔ yán
experience,经验;經驗,jīng yàn
investigate; survey; inquiry,调查;調查,diào chá
temperament; disposition; temper,脾气;脾氣,pí qi
start out; set off,出发;出發,chū fā
"(two, three, etc)-fold; times (multiplier)",倍;倍,bèi
correct; proper,正确;正確,zhèng què
emphasis; main point,重点;重點,zhòng diǎn
perform; to play,表演;表演,biǎo yǎn
work overtime,加班;加班,jiā bān
page; leaf (Kangxi radical 181),页;頁,yè
ordinarily; in normal times; in peacetime,平时;平時,píng shí
outstanding; excellent,优秀;優秀,yōu xiù
police,警察;警察,jǐng chá
poor; exhausted,穷;窮,qióng
complicated; complex,复杂;複雜,fù zá
summarize; conclude,总结;總結,zǒng jié
wages; pay; earnings; salary,工资;工資,gōng zī
responsible for (something); in charge of,负责;負責,fù zé
have to; have no choice but to; cannot but,不得不;不得不,bù dé bù
to guarantee; ensure,保证;保證,bǎo zhèng
novel; fiction,小说;小說,xiǎo shuō
if not; otherwise; or else,否则;否則,fǒu zé
difficulty; difficult; problem,困难;困難,kùn nan
reduce; to decrease,减少;減少,jiǎn shǎo
excitement； be excited,兴奋;興奮,xīng fèn
cash,现金;現金,xiàn jīn
lazy,懒;懶,lǎn
make a sound; to ring; echo,响;響,xiǎng
spread; prevalent; be popular,流行;流行,liú xíng
father,父亲;父親,fù qin
together; common; joint,共同;共同,gòng tóng
traffic; transportation,交通;交通,jiāo tōng
surroundings; vicinity; environment,周围;周圍,zhōu wéi
bridge,桥;橋,qiáo
stupid; foolish; silly; dumb; clumsy,笨;笨,bèn
happy; cheerful; delightful,愉快;愉快,yú kuài
catch up; overtake; drive away,赶;趕,gǎn
mother,母亲;母親,mǔ qin
hold a meeting; get together; a party,聚会;聚會,jù huì
give rise to; lead to; to cause; arouse,引起;引起,yǐn qǐ
number; numeral; figure; digit,数字;數字,shù zì
everywhere; in all places; all over,到处;到處,dào chù
after all; when all is said and done; actually,究竟;究竟,jiū jìng
"receive (influence, restriction, etc.); be subjected to",受到;受到,shòu dào
profession; occupation,职业;職業,zhí yè
opinion; view; suggestion; complaint,意见;意見,yì jiàn
doubt; to suspect; be skeptical,怀疑;懷疑,huái yí
century,世纪;世紀,shì jì
proud; arrogant; conceited; take pride in,骄傲;驕傲,jiāo ào
impression,印象;印象,yìn xiàng
danger; dangerous; perilous,危险;危險,wēi xiǎn
suitable; proper; appropriate,合适;合適,hé shì
bathroom; toilet; lavatory,厕所;廁所,cè suǒ
put in order; arrange; straighten up; to tidy; to pack (luggage),整理;整理,zhěng lǐ
mutually; with each other,互相;互相,hù xiāng
notify; to inform; notice,通知;通知,tōng zhī
conveniently; in passing; on the way,顺便;順便,shùn biàn
password; secret code,密码;密碼,mì mǎ
condition; circumstances; prerequisite,条件;條件,tiáo jiàn
interesting; fascinating; amusing,有趣;有趣,yǒu qù
"convene; to hold (a meeting, ceremony, etc.)",举行;舉行,jǔ xíng
base; foundation,基础;基礎,jī chǔ
sweat; perspiration; Khan,汗;汗,hàn
to throw; throw away,扔;扔,rēng
communicate; exchange; give and take; interaction; to alternate,交流;交流,jiāo liú
still; yet,仍然;仍然,réng rán
dumpling; potsticker,饺子;餃子,jiǎo zi
kilometer,公里;公裏,gōng lǐ
to shed; take off; to escape,脱;脫,tuō
actor or actress; performer,演员;演員,yǎn yuán
to discuss; discussion; to talk over,讨论;討論,tǎo lùn
magazine,杂志;雜志,zá zhì
to tidy; put in order; to repair; to settle with; punish,收拾;收拾,shōu shi
purpose; aim; goal,目的;目的,mù dì
dining hall; cafeteria; restaurant,餐厅;餐廳,cān tīng
"attract (interest, investment, etc.)",吸引;吸引,xī yǐn
first (of all); in the first place; firstly,首先;首先,shǒu xiān
law; statute,法律;法律,fǎ lǜ
temperature,温度;溫度,wēn dù
the future,将来;將來,jiāng lái
glasses; spectacles,眼镜;眼鏡,yǎn jìng
despite; although; even though | freely; without hesitation,尽管;盡管,jǐn guǎn
number,号码;號碼,hào mǎ
material,材料;材料,cái liào
relax; loosen; slacken,放松;放松,fàng sōng
difference; distinguish,区别;區別,qū bié
be born,出生;出生,chū shēng
to act (in a play); to perform; to put on a show; performance,演出;演出,yǎn chū
deliberately; intentional; on purpose,故意;故意,gù yì
send by mail,寄;寄,jì
reduce; to lower; to drop,降低;降低,jiàng dī
take in; income; revenue,收入;收入,shōu rù
sofa,沙发;沙發,shā fā
amount; quantity; number,数量;數量,shù liàng
science; scientific knowledge,科学;科學,kē xué
translate; translation; interpret,翻译;翻譯,fān yì
actual; reality; practice,实际;實際,shí jì
have to; be forced to,只好;只好,zhǐ hǎo
famous; well-known; celebration,著名;著名,zhù míng
recruitment; take job applications for a job,招聘;招聘,zhāo pìn
place; site; location,地点;地點,dì diǎn
to invite,邀请;邀請,yāo qǐng
just (in time); just right; just enough; happen to; by chance,正好;正好,zhèng hǎo
weak point; defect; fault; shortcoming,缺点;缺點,quē diǎn
temporary; transient; for the moment,暂时;暫時,zàn shí
Internet,互联网;互聯網,hù lián wǎng
joke; laugh at,笑话;笑話,xiào hua
bustling; lively; busy,热闹;熱鬧,rèn ao
author; writer,作者;作者,zuò zhě
nationality; ethnic group,民族;民族,mín zú
spectator; audience,观众;觀衆,guān zhòng
however; yet; but,然而;然而,rán ér
benefit; advantage,好处;好處,hǎo chu
read; reading,阅读;閱讀,yuè dú
timely; in time; promptly; without delay,及时;及時,jí shí
appointment; engagement; date,约会;約會,yuē huì
to permit; allow,允许;允許,yǔn xǔ
professor; instruct; to lecture,教授;教授,jiào shòu
careful; attentive; cautious,仔细;仔細,zǐ xì
according to; in accordance with; in light of,按照;按照,àn zhào
kitchen,厨房;廚房,chú fáng
master; qualified worker; teacher,师傅;師傅,shī fu
(mw for trips times) | to wade,趟;趟,tàng | tāng
encourage; inspire,鼓励;鼓勵,gǔ lì
diary,日记;日記,rì jì
regulation; stipulate; fix; set,规定;規定,guī dìng
lift; raise; cite,举;舉,jǔ
in keeping with; in accordance with; conform,符合;符合,fú hé
opposite; across from; the other side,对面;對面,duì miàn
humorous,幽默;幽默,yōu mò
to be patient,耐心;耐心,nài xīn
grape,葡萄;葡萄,pú tao
detailed; in detail; minute,详细;詳細,xiáng xì
proud of oneself; complacent,得意;得意,dé yì
winter vacation,寒假;寒假,hán jià
to value; take seriously,重视;重視,zhòng shì
to cough,咳嗽;咳嗽,ké sou
friendship; companionship,友谊;友誼,yǒu yì
to conduct; to hold,举办;舉辦,jǔ bàn
steamed stuffed bun,包子;包子,bāo zi
to suit; to fit; adapt,适应;適應,shì yìng
salty; salted; all,咸;鹹,xián
apologize; make an apology,道歉;道歉,dào qiàn
key,钥匙;鑰匙,yào shi
especially; particularly,尤其;尤其,yóu qí
"to smoke (a cigarette, pipe, etc.)",抽烟;抽煙,chōu yān
confidence; faith (in sb. or sth.),信心;信心,xìn xīn
compete,竞争;競爭,jìng zhēng
mirror,镜子;鏡子,jìng zi
criticize,批评;批評,pī píng
tomato,西红柿;西紅柿,xī hóng shì
broadcast; on the air,广播;廣播,guǎng bō
warm; nice and warm,暖和;暖和,nuǎn huo
specialized,专门;專門,zhuān mén
socks; stockings,袜子;襪子,wà zi
business; trade,生意;生意,shēng yi
calm; cool-headed; sober,冷静;冷靜,lěng jìng
plant; botanical; vegetation,植物;植物,zhí wù
to rent,租;租,zū
to lack; be short of; be deficient in,缺少;缺少,quē shǎo
a characteristic; trait; feature,特点;特點,tè diǎn
identical; same; alike,相同;相同,xiāng tóng
semester; school term,学期;學期,xué qī
dress up; put on make up,打扮;打扮,dǎ ban
lawyer,律师;律師,lǜ shī
furniture,家具;家具,jiā jù
pollution; contamination,污染;汙染,wū rǎn
kung fu; skill; art; labor,功夫;功夫,gōng fu
to judge; judgment; to decide,判断;判斷,pàn duàn
dialogue; conversation,对话;對話,duì huà
blush; shy,害羞;害羞,hài xiū
disturb,打扰;打擾,dǎ rǎo
(mw for plants),棵;棵,kē
snack; refreshments,小吃;小吃,xiǎo chī
merit; good point; a strength; a benefit,优点;優點,yōu diǎn
congratulate,祝贺;祝賀,zhù hè
Asia,亚洲;亞洲,yà zhōu
knock; blackmail,敲;敲,qiāo
customer; client,顾客;顧客,gù kè
ocean,海洋;海洋,hǎi yáng
compassion; sympathy,同情;同情,tóng qíng
be sorry; feel apologetic; to regret,抱歉;抱歉,bào qiàn
oppose; fight against,反对;反對,fǎn duì
to go for a walk,散步;散步,sàn bù
a little bit; slightly,稍微;稍微,shāo wēi
punctually; on time,准时;准時,zhǔn shí
point of view; opinion,看法;看法,kàn fǎ
go on a business trip,出差;出差,chū chāi
biscuit; cracker; cookie,饼干;餅幹,bǐng gān
filthy; dirty,脏;髒,zāng
there's not enough time (to do something); it's too late,来不及;來不及,lái bu jí
to misunderstand; to mistake,误会;誤會,wù huì
a relative (i.e. family relation),亲戚;親戚,qīn qi
traffic jam,堵车;堵車,dǔ chē
physical strength; effort,力气;力氣,lì qi
forest,森林;森林,sēn lín
joke; play a joke; make fun of,开玩笑;開玩笑,kāi wán xiào
seat; place,座位;座位,zuò wèi
to ban; prohibit,禁止;禁止,jìn zhǐ
tiger,老虎;老虎,lǎo hǔ
living room; parlor,客厅;客廳,kè tīng
nurse,护士;護士,hù shi
grandson; son's son,孙子;孫子,sūn zi
window,窗户;窗戶,chuāng hu
cultivate; acquire; to form,养成;養成,yǎng chéng
entrance,入口;入口,rù kǒu
towel; washcloth,毛巾;毛巾,máo jīn
accurate; precise,准确;准確,zhǔn què
author; writer,作家;作家,zuò jiā
to lift; to raise (with both palms up); carry (together),抬;擡,tái
common; universal; general; widespread,普遍;普遍,pǔ biàn
to taste; flavor; (past tense marker),尝;嘗,cháng
accumulate; accumulation,积累;積累,jī lěi
opposite; contrary,相反;相反,xiāng fǎn
Mandarin (common language),普通话;普通話,pǔ tōng huà
toothpaste,牙膏;牙膏,yá gāo
honest; honorable,诚实;誠實,chéng shí
to praise; commend,表扬;表揚,biǎo yáng
qualified; up to standard,合格;合格,hé gé
be afraid; to fear; I'm afraid that...,恐怕;恐怕,kǒng pà
fruit juice,果汁;果汁,guǒ zhī
the Great Wall,长城;長城,cháng chéng
doctor; PhD,博士;博士,bó shì
lively; vivacious,活泼;活潑,huó po
approximately; about,大约;大約,dà yuē
strict; stringent; tight,严格;嚴格,yáng é
"to visit (a place, such as a tourist spot); inspect",参观;參觀,cān guān
for example; for instance,例如;例如,lì rú
scheduled flight; flight number,航班;航班,háng bān
to get lost,迷路;迷路,mí lù
leaves,叶子;葉子,yè zi
to pay,付款;付款,fù kuǎn
arm,胳膊;胳膊,gē bo
there's still time,来得及;來得及,lái de jí
capital (city),首都;首都,shǒu dū
on time; on schedule,按时;按時,àn shí
gender; sex; sexual distinction,性别;性別,xìng bié
visa,签证;簽證,qiān zhèng
box,盒子;盒子,hé zi
plan; idea; decision,主意;主意,zhǔ yi
courtesy; politeness; manners,礼貌;禮貌,lǐ mào
notify; greet; inform,打招呼;打招呼,dǎ zhāo hu
consult; talk over; discuss,商量;商量,shāng liang
the Yangtze River; the Changjiang River,长江;長江,cháng jiāng
scenery; landscape; scene; view,景色;景色,jǐng sè
young man; lad; youngster,小伙子;小夥子,xiǎo huǒ zi
bonus,奖金;獎金,jiǎng jīn
next; secondly,其次;其次,qí cì
frugal; to save,节约;節約,jié yuē
sequence; order,顺序;順序,shùn xù
to print,打印;打印,dǎ yìn
climate; atmosphere; weather,气候;氣候,qì hòu
badminton,羽毛球;羽毛球,yǔ máo qiú
friendly (relations); close friends,友好;友好,yǒu hǎo
tennis; tennis ball,网球;網球,wǎng qiú
ride; get into (a vehicle),乘坐;乘坐,chéng zuò
inject; get a shot,打针;打針,dǎ zhēn
restroom; bathroom; water closet (WC),卫生间;衛生間,wèi shēng jiān
highway,高速公路;高速公路,gāo sù gōng lù
doctor; physician,大夫;大夫,dài fu
mineral water,矿泉水;礦泉水,kuàng quán shuǐ
garbage can,垃圾桶;垃圾桶,lā jī tǒng
Master's degree (M.A.),硕士;碩士,shuò shì
spoon; scoop; ladle,勺子;勺子,sháo zi
tour guide,导游;導遊,dǎo yóu
postpone; defer,推迟;推遲,tuī chí
small change (of money),零钱;零錢,líng qián
ping pong; table tennis,乒乓球;乒乓球,pīng pāng qiú
accept a job offer; to apply for a job,应聘;應聘,yìng pìn
roast duck,烤鸭;烤鴨,kǎo yā
"a barber, hairdressing; haircut",理发;理發,lǐ fà
plastic bag,塑料袋;塑料袋,sù liào dài
be startled; be shocked; be amazed,吃惊;吃驚,chī jīng
Beijing Opera,京剧;京劇,jīng jù
words and expressions; terms,词语;詞語,cí yǔ
rubber; an eraser,橡皮;橡皮,xiàng pí
arrange; align; permutation,排列;排列,pái liè
careless; inadvertent; negligent,粗心;粗心,cū xīn
landlord,房东;房東,fáng dōng
gas station,加油站;加油站,jiā yóu zhàn
fluent,流利;流利,liú lì
post office,邮局;郵局,yóu jú
to drink a toast; cheers!; bottoms up!,干杯;幹杯,gān bēi
descend; to land; put down,降落;降落,jiàng luò
form (document),表格;表格,biǎo gé
grammar,语法;語法,yǔ fǎ
suburbs; outskirts,郊区;郊區,jiāo qū
to repair; perform maintenance; to overhaul,修理;修理,xiū lǐ
envelope,信封;信封,xìn fēng
nationality,国籍;國籍,guó jí
nice and cool; pleasantly cool,凉快;涼快,liáng kuai
(of students) prepare a lesson before class; preview,预习;預習,yù xí
photocopy; duplicate,复印;複印,fù yìn
careless; sloppy; casual,马虎;馬虎,mǎ hu
play the piano,弹钢琴;彈鋼琴,tán gāng qín
embassy,大使馆;大使館,dà shǐ guǎn
fill in the blanks; fill a vacancy,填空;填空,tián kòng
salesclerk; shop assistant,售货员;售貨員,shòu huò yuán
Sunday,礼拜天;禮拜天,lǐ bài tiān
fax; facsimile,传真;傳真,chuán zhēn
the (phone) line is busy,占线;占線,zhàn xiàn
percent,百分之;百分之,bǎi fēn zhī
sell at a discount,打折;打折,dǎ zhé
boarding pass,登机牌;登機牌,dēng jī pái
text message; SMS,短信;短信,duǎn xìn
have summer vacation,放暑假;放暑假,fàng shǔ jià
continue; carry on; to catch; follow,接着;接著,jiē zhe
ten million; be sure to; must,千万;千萬,qiān wàn
along with; in the wake of,随着;隨著,suí zhe
