得,(complement particle),de
甚至,even (to the point of); so much so that,shèn zhì
从来,always; at all times,cóng lái
国际,international,guó jì
丢,lose (something); throw; put aside,diū
网站,website,wǎng zhàn
谈,to talk; to chat; discuss,tán
任务,a mission; an assignment; a task,rèn wu
严重,grave; serious; critical,yán zhòng
肚子,belly; abdomen; stomach,dù zi
过程,course of events; process,guò chéng
伤心,sad; grieve; brokenhearted,shāng xīn
难受,feel unwell; to suffer pain,nán shòu
后悔,to regret; repent,hòu huǐ
至少,at least; (to say the) least,zhì shǎo
记者,reporter; journalist,jì zhě
停,to stop; to halt; to park (a car),tíng
提供,to supply; provide; furnish,tí gōng
推,to push; to scrape; to decline; postpone; elect,tuī
态度,manner; bearing; attitude,tài du
教育,education,jiào yù
标准,(an official) standard; norm; criterion,biāo zhǔn
躺,recline; lie down (on back or side),tǎng
厉害,terrible; formidable; fierce; cool; awesome,lì hai
底,bottom; background; base,dǐ
部分,part; share; section,bù fen
旅行,travel,lǚ xíng
云,cloud; Yunnan province | say; speak,yún
失败,be defeated; fail; lose,shī bài
增加,to increase; to raise; add,zēng jiā
输,"to transport; to lose (a game, etc.)",shū
计划,plan; project,jì huà
内容,content; substance; details,nèi róng
证明,proof; testify; confirm; certificate,zhèng míng
距离,distance; be apart; away from,jù lí
提,to carry; to lift; to raise (an issue),tí
研究,to study; to research,yán jiū
管理,supervise; manage,guǎn lǐ
轻,light; easy; gentle; soft,qīng
刀,knife; blade (Kangxi radical 18),dāo
顺利,go smoothly; without a hitch; successful,shùn lì
往往,often; frequently; more often than not,wǎng wǎng
辣,hot (spicy),là
骗,to cheat; to swindle; deceive,piàn
答案,answer; solution,dá àn
提醒,remind; call attention to; warn of,tí xǐng
巧克力,chocolate,qiǎo kè lì
说明,explain; explanation; illustrate; to show,shuō míng
超过,surpass; exceed; outstrip,chāo guò
许多,many; a lot; much,xǔ duō
考虑,think over; consider,kǎo lǜ
随便,as one pleases; informal; random; casual,suí biàn
丰富,rich; enrich; abundant; plentiful,fēng fù
失望,disappointed; lose hope,shī wàng
重新,again; anew; once more,chóng xīn
方向,direction; orientation,fāng xiàng
正式,formal; official,zhèng shì
烦恼,worried; vexed,fán nǎo
剩,have as remainder; be left over; surplus,shèng
富,wealthy,fù
激动,excite; agitate,jī dòng
浪费,to waste; squander,làng fèi
关键,crucial; key; pivotal,guān jiàn
艺术,art,yì shù
原谅,to excuse; forgive; to pardon,yuán liàng
盐,salt,yán
猜,to guess,cāi
毕业,to graduate; to finish school,bì yè
熟悉,familiar with; know well,shú xī
麻烦,trouble (someone); troubling; bothersome,má fan
自信,self-confidence,zì xìn
勇敢,brave; courageous,yǒng gǎn
文章,article; essay,wén zhāng
戴,put on; to wear; to respect,dài
省,to save; economize; omit; province,shěng
另外,another; in addition; besides,lìng wài
拒绝,to refuse; to decline; to reject,jù jué
作用,action; activity; effect,zuò yòng
厚,thick (for flat things); generous,hòu
理想,ideal,lǐ xiǎng
错误,error; mistake; mistaken,cuò wù
十分,very; fully; 100%,shí fēn
动作,movement; motion; action,dòng zuò
赚,earn; make a profit,zhuàn
由于,due to; owing to; as a result of; thanks to,yóu yú
方面,aspect; field; side,fāng miàn
地球,the Earth; planet,dì qiú
性格,nature; personality; temperament,xìng gé
逛,to stroll; to visit; go window shopping,guàng
报名,sign up; apply,bào míng
提前,shift to an earlier date; bring forward; to advance,tí qián
不仅,not only; not just,bù jǐn
空气,air,kōng qì
排队,queue; stand in line,pái duì
质量,quality; mass (physics),zhì liàng
差不多,almost; about the same,chà bu duō
尊重,esteem; to respect; to value; to honor,zūn zhòng
责任,responsibility; blame; duty,zé rèn
并且,and; besides; moreover,bìng qiě
紧张,nervous; tension; strain,jǐn zhāng
知识,knowledge; intellectual,zhī shi
申请,apply for; application,shēn qǐng
积极,active; positive; energetic,jī jí
酸,sour; sore; ache,suān
年龄,(a person's) age,nián líng
比如,for example; for instance; such as,bǐ rú
因此,therefore; thus; that is why; because of this,yīn cǐ
偶尔,occasionally; once in a while; sometimes,ǒu ěr
大概,probably; roughly; approximate,dà gài
存,exist; to deposit; to store,cún
安排,arrange; to plan,ān pái
儿童,child; children,ér tóng
咱们,we (including the listener); us; our,zán men
既然,since; given that; now that,jì rán
购物,go shopping; buy goods,gòu wù
受不了,cannot endure; unbearable; can't stand,shòu bu liǎo
语言,language,yǔ yán
经验,experience,jīng yàn
调查,investigate; survey; inquiry,diào chá
脾气,temperament; disposition; temper,pí qi
出发,start out; set off,chū fā
倍,"(two, three, etc)-fold; times (multiplier)",bèi
正确,correct; proper,zhèng què
重点,emphasis; main point,zhòng diǎn
表演,perform; to play,biǎo yǎn
加班,work overtime,jiā bān
页,page; leaf (Kangxi radical 181),yè
平时,ordinarily; in normal times; in peacetime,píng shí
优秀,outstanding; excellent,yōu xiù
警察,police,jǐng chá
穷,poor; exhausted,qióng
复杂,complicated; complex,fù zá
总结,summarize; conclude,zǒng jié
工资,wages; pay; earnings; salary,gōng zī
负责,responsible for (something); in charge of,fù zé
不得不,have to; have no choice but to; cannot but,bù dé bù
保证,to guarantee; ensure,bǎo zhèng
小说,novel; fiction,xiǎo shuō
否则,if not; otherwise; or else,fǒu zé
困难,difficulty; difficult; problem,kùn nan
减少,reduce; to decrease,jiǎn shǎo
兴奋,excitement； be excited,xīng fèn
现金,cash,xiàn jīn
懒,lazy,lǎn
响,make a sound; to ring; echo,xiǎng
流行,spread; prevalent; be popular,liú xíng
父亲,father,fù qin
共同,together; common; joint,gòng tóng
交通,traffic; transportation,jiāo tōng
周围,surroundings; vicinity; environment,zhōu wéi
桥,bridge,qiáo
笨,stupid; foolish; silly; dumb; clumsy,bèn
愉快,happy; cheerful; delightful,yú kuài
赶,catch up; overtake; drive away,gǎn
母亲,mother,mǔ qin
聚会,hold a meeting; get together; a party,jù huì
引起,give rise to; lead to; to cause; arouse,yǐn qǐ
数字,number; numeral; figure; digit,shù zì
到处,everywhere; in all places; all over,dào chù
究竟,after all; when all is said and done; actually,jiū jìng
受到,"receive (influence, restriction, etc.); be subjected to",shòu dào
职业,profession; occupation,zhí yè
意见,opinion; view; suggestion; complaint,yì jiàn
怀疑,doubt; to suspect; be skeptical,huái yí
世纪,century,shì jì
骄傲,proud; arrogant; conceited; take pride in,jiāo ào
印象,impression,yìn xiàng
危险,danger; dangerous; perilous,wēi xiǎn
合适,suitable; proper; appropriate,hé shì
厕所,bathroom; toilet; lavatory,cè suǒ
整理,put in order; arrange; straighten up; to tidy; to pack (luggage),zhěng lǐ
互相,mutually; with each other,hù xiāng
通知,notify; to inform; notice,tōng zhī
顺便,conveniently; in passing; on the way,shùn biàn
密码,password; secret code,mì mǎ
条件,condition; circumstances; prerequisite,tiáo jiàn
有趣,interesting; fascinating; amusing,yǒu qù
举行,"convene; to hold (a meeting, ceremony, etc.)",jǔ xíng
基础,base; foundation,jī chǔ
汗,sweat; perspiration; Khan,hàn
扔,to throw; throw away,rēng
交流,communicate; exchange; give and take; interaction; to alternate,jiāo liú
仍然,still; yet,réng rán
饺子,dumpling; potsticker,jiǎo zi
公里,kilometer,gōng lǐ
脱,to shed; take off; to escape,tuō
演员,actor or actress; performer,yǎn yuán
讨论,to discuss; discussion; to talk over,tǎo lùn
杂志,magazine,zá zhì
收拾,to tidy; put in order; to repair; to settle with; punish,shōu shi
目的,purpose; aim; goal,mù dì
餐厅,dining hall; cafeteria; restaurant,cān tīng
吸引,"attract (interest, investment, etc.)",xī yǐn
首先,first (of all); in the first place; firstly,shǒu xiān
法律,law; statute,fǎ lǜ
温度,temperature,wēn dù
将来,the future,jiāng lái
眼镜,glasses; spectacles,yǎn jìng
尽管,despite; although; even though | freely; without hesitation,jǐn guǎn
号码,number,hào mǎ
材料,material,cái liào
放松,relax; loosen; slacken,fàng sōng
区别,difference; distinguish,qū bié
出生,be born,chū shēng
演出,to act (in a play); to perform; to put on a show; performance,yǎn chū
故意,deliberately; intentional; on purpose,gù yì
寄,send by mail,jì
降低,reduce; to lower; to drop,jiàng dī
收入,take in; income; revenue,shōu rù
沙发,sofa,shā fā
数量,amount; quantity; number,shù liàng
科学,science; scientific knowledge,kē xué
翻译,translate; translation; interpret,fān yì
实际,actual; reality; practice,shí jì
只好,have to; be forced to,zhǐ hǎo
著名,famous; well-known; celebration,zhù míng
招聘,recruitment; take job applications for a job,zhāo pìn
地点,place; site; location,dì diǎn
邀请,to invite,yāo qǐng
正好,just (in time); just right; just enough; happen to; by chance,zhèng hǎo
缺点,weak point; defect; fault; shortcoming,quē diǎn
暂时,temporary; transient; for the moment,zàn shí
互联网,Internet,hù lián wǎng
笑话,joke; laugh at,xiào hua
热闹,bustling; lively; busy,rèn ao
作者,author; writer,zuò zhě
民族,nationality; ethnic group,mín zú
观众,spectator; audience,guān zhòng
然而,however; yet; but,rán ér
好处,benefit; advantage,hǎo chu
阅读,read; reading,yuè dú
及时,timely; in time; promptly; without delay,jí shí
约会,appointment; engagement; date,yuē huì
允许,to permit; allow,yǔn xǔ
教授,professor; instruct; to lecture,jiào shòu
仔细,careful; attentive; cautious,zǐ xì
按照,according to; in accordance with; in light of,àn zhào
厨房,kitchen,chú fáng
师傅,master; qualified worker; teacher,shī fu
趟,(mw for trips times) | to wade,tàng | tāng
鼓励,encourage; inspire,gǔ lì
日记,diary,rì jì
规定,regulation; stipulate; fix; set,guī dìng
举,lift; raise; cite,jǔ
符合,in keeping with; in accordance with; conform,fú hé
对面,opposite; across from; the other side,duì miàn
幽默,humorous,yōu mò
耐心,to be patient,nài xīn
葡萄,grape,pú tao
详细,detailed; in detail; minute,xiáng xì
得意,proud of oneself; complacent,dé yì
寒假,winter vacation,hán jià
重视,to value; take seriously,zhòng shì
咳嗽,to cough,ké sou
友谊,friendship; companionship,yǒu yì
举办,to conduct; to hold,jǔ bàn
包子,steamed stuffed bun,bāo zi
适应,to suit; to fit; adapt,shì yìng
咸,salty; salted; all,xián
道歉,apologize; make an apology,dào qiàn
钥匙,key,yào shi
尤其,especially; particularly,yóu qí
抽烟,"to smoke (a cigarette, pipe, etc.)",chōu yān
信心,confidence; faith (in sb. or sth.),xìn xīn
竞争,compete,jìng zhēng
镜子,mirror,jìng zi
批评,criticize,pī píng
西红柿,tomato,xī hóng shì
广播,broadcast; on the air,guǎng bō
暖和,warm; nice and warm,nuǎn huo
专门,specialized,zhuān mén
袜子,socks; stockings,wà zi
生意,business; trade,shēng yi
冷静,calm; cool-headed; sober,lěng jìng
植物,plant; botanical; vegetation,zhí wù
租,to rent,zū
缺少,to lack; be short of; be deficient in,quē shǎo
特点,a characteristic; trait; feature,tè diǎn
相同,identical; same; alike,xiāng tóng
学期,semester; school term,xué qī
打扮,dress up; put on make up,dǎ ban
律师,lawyer,lǜ shī
家具,furniture,jiā jù
污染,pollution; contamination,wū rǎn
功夫,kung fu; skill; art; labor,gōng fu
判断,to judge; judgment; to decide,pàn duàn
对话,dialogue; conversation,duì huà
害羞,blush; shy,hài xiū
打扰,disturb,dǎ rǎo
棵,(mw for plants),kē
小吃,snack; refreshments,xiǎo chī
优点,merit; good point; a strength; a benefit,yōu diǎn
祝贺,congratulate,zhù hè
亚洲,Asia,yà zhōu
敲,knock; blackmail,qiāo
顾客,customer; client,gù kè
海洋,ocean,hǎi yáng
同情,compassion; sympathy,tóng qíng
抱歉,be sorry; feel apologetic; to regret,bào qiàn
反对,oppose; fight against,fǎn duì
散步,to go for a walk,sàn bù
稍微,a little bit; slightly,shāo wēi
准时,punctually; on time,zhǔn shí
看法,point of view; opinion,kàn fǎ
出差,go on a business trip,chū chāi
饼干,biscuit; cracker; cookie,bǐng gān
脏,filthy; dirty,zāng
来不及,there's not enough time (to do something); it's too late,lái bu jí
误会,to misunderstand; to mistake,wù huì
亲戚,a relative (i.e. family relation),qīn qi
堵车,traffic jam,dǔ chē
力气,physical strength; effort,lì qi
森林,forest,sēn lín
开玩笑,joke; play a joke; make fun of,kāi wán xiào
座位,seat; place,zuò wèi
禁止,to ban; prohibit,jìn zhǐ
老虎,tiger,lǎo hǔ
客厅,living room; parlor,kè tīng
护士,nurse,hù shi
孙子,grandson; son's son,sūn zi
窗户,window,chuāng hu
养成,cultivate; acquire; to form,yǎng chéng
入口,entrance,rù kǒu
毛巾,towel; washcloth,máo jīn
准确,accurate; precise,zhǔn què
作家,author; writer,zuò jiā
抬,to lift; to raise (with both palms up); carry (together),tái
普遍,common; universal; general; widespread,pǔ biàn
尝,to taste; flavor; (past tense marker),cháng
积累,accumulate; accumulation,jī lěi
相反,opposite; contrary,xiāng fǎn
普通话,Mandarin (common language),pǔ tōng huà
牙膏,toothpaste,yá gāo
诚实,honest; honorable,chéng shí
表扬,to praise; commend,biǎo yáng
合格,qualified; up to standard,hé gé
恐怕,be afraid; to fear; I'm afraid that...,kǒng pà
果汁,fruit juice,guǒ zhī
长城,the Great Wall,cháng chéng
博士,doctor; PhD,bó shì
活泼,lively; vivacious,huó po
大约,approximately; about,dà yuē
严格,strict; stringent; tight,yáng é
参观,"to visit (a place, such as a tourist spot); inspect",cān guān
例如,for example; for instance,lì rú
航班,scheduled flight; flight number,háng bān
迷路,to get lost,mí lù
叶子,leaves,yè zi
付款,to pay,fù kuǎn
胳膊,arm,gē bo
来得及,there's still time,lái de jí
首都,capital (city),shǒu dū
按时,on time; on schedule,àn shí
性别,gender; sex; sexual distinction,xìng bié
签证,visa,qiān zhèng
盒子,box,hé zi
主意,plan; idea; decision,zhǔ yi
礼貌,courtesy; politeness; manners,lǐ mào
打招呼,notify; greet; inform,dǎ zhāo hu
商量,consult; talk over; discuss,shāng liang
长江,the Yangtze River; the Changjiang River,cháng jiāng
景色,scenery; landscape; scene; view,jǐng sè
小伙子,young man; lad; youngster,xiǎo huǒ zi
奖金,bonus,jiǎng jīn
其次,next; secondly,qí cì
节约,frugal; to save,jié yuē
顺序,sequence; order,shùn xù
打印,to print,dǎ yìn
气候,climate; atmosphere; weather,qì hòu
羽毛球,badminton,yǔ máo qiú
友好,friendly (relations); close friends,yǒu hǎo
网球,tennis; tennis ball,wǎng qiú
乘坐,ride; get into (a vehicle),chéng zuò
打针,inject; get a shot,dǎ zhēn
卫生间,restroom; bathroom; water closet (WC),wèi shēng jiān
高速公路,highway,gāo sù gōng lù
大夫,doctor; physician,dài fu
矿泉水,mineral water,kuàng quán shuǐ
垃圾桶,garbage can,lā jī tǒng
硕士,Master's degree (M.A.),shuò shì
勺子,spoon; scoop; ladle,sháo zi
导游,tour guide,dǎo yóu
推迟,postpone; defer,tuī chí
零钱,small change (of money),líng qián
乒乓球,ping pong; table tennis,pīng pāng qiú
应聘,accept a job offer; to apply for a job,yìng pìn
烤鸭,roast duck,kǎo yā
理发,"a barber, hairdressing; haircut",lǐ fà
塑料袋,plastic bag,sù liào dài
吃惊,be startled; be shocked; be amazed,chī jīng
京剧,Beijing Opera,jīng jù
词语,words and expressions; terms,cí yǔ
橡皮,rubber; an eraser,xiàng pí
排列,arrange; align; permutation,pái liè
粗心,careless; inadvertent; negligent,cū xīn
房东,landlord,fáng dōng
加油站,gas station,jiā yóu zhàn
流利,fluent,liú lì
邮局,post office,yóu jú
干杯,to drink a toast; cheers!; bottoms up!,gān bēi
降落,descend; to land; put down,jiàng luò
表格,form (document),biǎo gé
语法,grammar,yǔ fǎ
郊区,suburbs; outskirts,jiāo qū
修理,to repair; perform maintenance; to overhaul,xiū lǐ
信封,envelope,xìn fēng
国籍,nationality,guó jí
凉快,nice and cool; pleasantly cool,liáng kuai
预习,(of students) prepare a lesson before class; preview,yù xí
复印,photocopy; duplicate,fù yìn
马虎,careless; sloppy; casual,mǎ hu
弹钢琴,play the piano,tán gāng qín
大使馆,embassy,dà shǐ guǎn
填空,fill in the blanks; fill a vacancy,tián kòng
售货员,salesclerk; shop assistant,shòu huò yuán
礼拜天,Sunday,lǐ bài tiān
传真,fax; facsimile,chuán zhēn
占线,the (phone) line is busy,zhàn xiàn
百分之,percent,bǎi fēn zhī
打折,sell at a discount,dǎ zhé
登机牌,boarding pass,dēng jī pái
短信,text message; SMS,duǎn xìn
放暑假,have summer vacation,fàng shǔ jià
接着,continue; carry on; to catch; follow,jiē zhe
千万,ten million; be sure to; must,qiān wàn
随着,along with; in the wake of,suí zhe
