找	try to find	zhǎo	[sound:找.mp3]	
基本上	Basically...	Jī běn shàng		
蛋糕	Cake	Dàn gāo		
垃圾	Rubbish&nbsp;	lā jī		
我吃饱了	I'm full	Wǒ chī bǎo le&nbsp;		
很高兴认识你	Nice to meet you	Hěn gāo xìng rèn shí nǐ		
这个字怎么读	How to read (pronounce) this character	Zhè ge zì zěn me dú		
别说话	Don't speak	Bié shuō huà		
听力	Listening (the ability to)	Tīng lì		
迷路	To get lost	Mí lù		
仙女	Fairy	Xiān nǚ		
公主	Princess	Gōng zhǔ		
护士	Nurse	Hù shì		
那么	Then...	Nà me		
扮演	To play the part of&nbsp;	Bàn yǎn		
心脏	Heart	Xīn zàng		
心跳	Heart beat	Xīn tiào		
贴	To stick	Tiē		
创口贴	Bandage	Chuāng kǒu tiē		
量	To measure	Liáng		
体温	Body temperature	Tǐ wēn		
躺	To lay	Tǎng		
名词	Noun	Míng cí		
动词	Verb	Dòng cí		
形容词	Adjective	Xíng róng cí		
副词	Adverb&nbsp;	Fù cí		
量词	Measure word	Liàng cí		
鹦鹉	Parrot	Yīng wǔ		
惊喜	Surprise	Jīng xǐ		
宠物	Pet	Chǒng wù		
养	To raise (a pet/child)	Yǎng		
聪明	Smart	Cōng míng		
科学	Science	Kē xué		
听说	To hear of sth	Tīng shuō		
歌曲	Song	Gē qǔ		
加班	To work overtime	Jiā bān		
舒服	Comfortable/feel well	Shū fú		
痒	To tickle/itch	Yǎng		
响	To make a sound	Xiǎng		
赶着要去	In a hurry to go do sth	Gǎn zhe yào qù		
吵	Noisy	Chǎo		
干净	Clean	Gān jìng		
肮脏	Dirty	Āng zāng		
鸭子	Duck	Yā zi		
假装	To pretend to be someone	jiǎ zhuāng		
摘掉	To take off	Zhāi diào		
你做的什么菜都好吃	All of the dishes you cook are delicious	Nǐ zuò de shén me cài dōu hào chī		
所有	All of...	Suǒ yǒu		
你看起来困	You look sleepy	Nǐ kàn qǐ lái kùn		
模糊	To blur/blurry	Mó hú		
你对我很重要	You are important to me	Nǐ duì wǒ hěn zhòng yào		
对我来说咖啡太苦了	For me, coffee is too bitter	Duì wǒ lái shuō kāfēi tài kǔ le		
有的时候	Sometimes (time phrase)	Yǒu de shí hòu		
找不到	Can't find sth	Zhǎo bù dào		
我到处都找不到	I can't find it anywhere&nbsp;	Wǒ dào chù dōu zhǎo bù dào		
到处都	Anywhere	dào chù dōu		
糟了	Oops/oh no	Zāo le		
着急	Anxious	Zhāo jí		
根本	At all/totally (adverb used to emphasise negation)	Gēn běn		
看不了	Can't read sth (due to factor outside of your control)	Kàn bù liǎo		
令人	To cause someone/make one do sth	Lìng rén		
无语	Speechless&nbsp;	Wú yǔ		
肯定	It's must be that...	Kěn dìng		
有人	Someone (a person exists that...)	Yǒu rén		
藏	To hide sth	Cáng		
放	To place/put sth somewhere&nbsp;	Fàng		
口袋	Pocket	Kǒu dài		
好主意	Good idea	Hǎo zhǔ yì		
并没有	actually not (disagree with previous statement)	Bìng méi yǒu		
楼上	Upstairs	Lóu shàng		
楼下	Down stairs	Lóu xià		
小心一点	Be careful (not in a serious situation)	Xiǎo xīn yī diǎn		
小心	Be careful (serious situation)	Xiǎo xīn		
好笑	Funny	Hǎo xiào		
笑话	Joke	Xiào huà		
别把东西碰到了	Don't bump into anything	Bié bǎ dōngxī pèng dào le		
拖鞋	Slippers/flip flops	Tuō xié		
浴室	Bath room (with a shower/bath)	Yù shì		
浴缸	Bathtub	Yù gāng		
马桶	Toilet (literally)	Mǎ tǒng		
那又怎么样	So what?	Nà yòu zěn me yàng		
怎么办	What to do?	Zěn me bàn		
看来	It seems.../it's looks as if...	Kàn lái		
适应	To adapt to sth	Shì yìng		
生活	Life	Shēng huó		
原来	As It turns out...	Yuán lái		
迷糊	Confused/clueless	Mí hú		
哇噻	Wow!	Wā sāi		
摄像机	Movie/Video camera	Shè xiàng jī		
邮递员	Mailman/postman	Yóu dì yuán		
斑马	Zebra	Bān mǎ		
送信	Mail delivery	Sòng xìn		
包裹	Package	Bāo guǒ		
邮局	Post office	Yóu jú		
放弃	To give up	Fàng qì		
不管多难你都不能放弃	No matter how difficult it is, you can't give up	Bù guǎn duō nàn nǐ dōu bù néng fàng qì		
怎么会	How is this possible?	Zěn me huì		
答案	Answer/solution	Dá àn		
很接近答案了	Very close to the answer	Hěn jiē jìn dá àn le		
瞧	Look/Voila (informal)	Qiáo		
跟着说	Repeat speaking (follow speaking)	Gēn zhe shuō		
语法	Grammar	Yǔ fǎ		
影片	Movie clip	Yǐng piàn		
就算	Even if (informal)	Jiù suàn		
说明书	Instruction manual	Shuō míng shū		
想象	To imagine	Xiǎng xiàng		
中国比我想象中的要大	China is bigger than I imagined	Zhōng guó bǐ wǒ xiǎng xiàng zhōng de yāo dà		
比我想象中的要难	This is harder than I imagined	Bǐ wǒ xiǎng xiàng zhōng de yāo nán		
按	To press/push sth	Àn		
按钮	Button (on a machine)	Àn niǔ		
直接	Direct/immediate&nbsp;	Zhí jiē		
我说得越来越好了	I speak better and better	Wǒ shuō dé yuè lái yuè hǎo le		
购买	To Purchase (formal to buy)	Gòu mǎi		
迫不及待	To be eager	Pò bù jí dài		
部	Measure word for books/films	Bù		
声音	Sound	Shēng yīn		
我不太明白	I don't fully understand	Wǒ bù tài míng bái		
事半功倍	Half the work, twice the effect (work smarter not harder) idiom	Shì bàn gōng bèi		
停	To stop/pause	Tíng		
照顾	To take care of&nbsp;	Zhào gù		
段	Measure word for short video clip/portion of a video	Duàn		
不许	To not allow&nbsp;	Bù xǔ		
偷看	To peek	Tōu kàn		
出镜	To appear in a video/on tv	Chū jìng		
检查	To check/inspect	jiǎn chá		
安全	To be safe/safety	ān quán		
泥	Mud	Ní		
而已	...that's all/nothing more	Ér yǐ		
让我猜一猜	Let me guess	Ràng wǒ cāi yī cāi		
放心	To feel releved/relaxed	Fàng xīn		
没事	It's nothing/never mind&nbsp;	Méi shì		
清理	To Clean up/sort out	Qīng lǐ		
冰淇淋	Ice cream	Bīng qí lín		
你做饭好了吗	Are you done cooking?	Nǐ zuò fàn hǎo le ma		
吓人	To be scary	Xià rén		
吓坏了	To get badly scared	Xià huài le		
害怕	To get scared	Hài pà		
中文怎么说	How do you say this in chinese？	Zhōng wén zěn me shuō		
话题	Topic of conversation	Huà tí		
模仿	To imitate	Mó fǎng		
那样	Like that&nbsp;	Nà yàng		
这样	Like this	Zhè yàng		
平时	Ordinarily/normally	Píng shí		
我越跑越累	The more I run, the more I get tired	Wǒ yuè pǎo yuè lèi		
原来是这样	So that's what it is. (Initially didn't understand but now do)	Yuán lái shì zhè yàng		
花园	Garden	Huā yuán		
靴子	Boots	Xuē zi		
身上	On ones body/on one&nbsp;	Shēn shang		
吓唬	To frighten	Xià hǔ		
身边	At/by ones side	shēn biān		
别把东西落下了	Don't leave anything behind	Bié bǎ dōngxī là xià le		
遮阳伞	Sun-umberella	zhē yáng sǎn		
伞	Umbrella&nbsp;	sǎn		
海滩包	Beach bag	Hǎi tān bāo		
水桶	Water bucket	Shuǐ tǒng		
铲子	Shovel	Chǎn zi		
沙滩球	Beach ball	Shā tān qiú		
涂	To apply/spread	Tú		
防晒霜	Sun screen	Fáng shài shuāng		
太阳太毒了	The sun is too strong	Tài yáng tài dú le		
你是对的	You are right	Nǐ shì duì de		
让我想想	Let me think	Ràng wǒ xiǎng xiǎng		
我考虑一下	Let me consider it	Wǒ kǎo lǜ yī xià		
下次吧	Let's do it next time (No)	Xià cì ba		
再说吧	Let's talk about it later (No)	Zài shuō ba		
香蕉	Banana	Xiāng jiāo		
发信息	To send a message	Fā xìn xī		
你一周去四次健身房	You go to the gym four times a week	Nǐ yī zhōu qù sì cì jiàn shēn fáng		
香港	Hong Kong&nbsp;	Xiāng gǎng		
我腿麻了	My legs are numb	Wǒ tuǐ má le		
大米	Un cooked rice	Dà mǐ		
从家到大学走路只需要两分钟	It only takes 2 minutes to walk from home to university&nbsp;	Cóng jiā dào dà xué zǒu lù zhǐ xūyào liǎng fēn zhōng		
办公室	Office	Bàn gōng shì		
复习	To revise/review	Fù xí		
真不错	That's good (pleasant surprise)	Zhēn bù cuò		
扔	To throw/toss	Rēng		
追	To peruse/chase	Zhuī		
接住	To catch (something thrown)	Jiē zhù		
