难得,hard to come by; difficult to get; rare,nán dé,[sound:难得.mp3]
卷,to roll (up); to coil; (mw for tapes),juǎn,[sound:卷.mp3]
捏,to pinch (with one's fingers); knead,niē,[sound:捏.mp3]
思念,think of; long for; to miss,sī niàn,[sound:思念.mp3]
即将,will shortly; soon; be on the verge of,jí jiāng,[sound:即将.mp3]
扩散,spread; proliferation,kuò sàn,[sound:扩散.mp3]
当初,at that time; at the outset; originally,dāng chū,[sound:当初.mp3]
跌,to fall down; to drop,diē,[sound:跌.mp3]
激情,passion; strong emotion; fervor; enthusiasm,jī qíng,[sound:激情.mp3]
登陆,to land; come ashore; sign/log in,dēng lù,[sound:登陆.mp3]
直播,live broadcast (not recorded),zhí bō,[sound:直播.mp3]
嫉妒,"to be jealous; to envy, covet; to hate; to begrudge",jí dù,[sound:嫉妒.mp3]
欺负,to bully; intimidate,qī fu,[sound:欺负.mp3]
窝,nest; den,wō,[sound:窝.mp3]
冲动,impulsive; act on impulse,chōng dòng,[sound:冲动.mp3]
副,vice-; secondary; auxiliary; deputy; assistant; classifier for pairs (i.e. glasses),fù,[sound:副.mp3]
承诺,to promise,chéng nuò,[sound:承诺.mp3]
模式,model; pattern; method,mó shì,[sound:模式.mp3]
化妆,put on make-up,huà zhuāng,[sound:化妆.mp3]
按摩,massage,àn mó,[sound:按摩.mp3]
死亡,to die; death; be dead,sǐ wáng,[sound:死亡.mp3]
渣,dregs; slag,zhā,[sound:渣.mp3]
天堂,paradise; heaven,tiān táng,[sound:天堂.mp3]
政策,policy,zhèng cè,[sound:政策.mp3]
灵魂,soul; spirit; conscience,líng hún,[sound:灵魂.mp3]
周年,anniversary; annual,zhōu nián,[sound:周年.mp3]
捞,dredge up; fish up,lāo,[sound:捞.mp3]
心疼,love dearly; the pain of love,xīn téng,[sound:心疼.mp3]
公民,citizen,gōng mín,[sound:公民.mp3]
凌晨,early in the morning,líng chén,[sound:凌晨.mp3]
和谐,harmonious; concordant,hé xié,[sound:和谐.mp3]
耍,play/mess around with; juggle,shuǎ,[sound:耍.mp3]
爆发,break out; erupt; explode,bào fā,[sound:爆发.mp3]
维生素,vitamin,wéi shēng sù,[sound:维生素.mp3]
亚军,second place; runner-up,yà jūn,[sound:亚军.mp3]
潮流,tide; current; trend,cháo liú,[sound:潮流.mp3]
尝试,to try; attempt,cháng shì,[sound:尝试.mp3]
境界,boundary; state; realm; level,jìng jiè,[sound:境界.mp3]
本人,I; me; myself; oneself; in person,běn rén,[sound:本人.mp3]
事故,accident,shì gù,[sound:事故.mp3]
等级,degree; rate,děng jí,[sound:等级.mp3]
除,besides; except; remove; to divide (mathematics),chú,[sound:除.mp3]
毫无,not at all; completely without; not in the least,háo wú,[sound:毫无.mp3]
剑,sword,jiàn,[sound:剑.mp3]
执着,to refuse to change one's viewpoint,zhí zhuó,[sound:执着.mp3]
实力,strength,shí lì,[sound:实力.mp3]
熬,endure; to boil,áo,[sound:熬.mp3]
智能,"intelligent; capability; smart (phone, system, bomb, etc.)",zhì néng,[sound:智能.mp3]
人士,person; public figure,rén shì,[sound:人士.mp3]
季军,third in a race; bronze medalist,jì jūn,[sound:季军.mp3]
皆,all; each and every; in all cases,jiē,[sound:皆.mp3]
忙碌,be busy; bustling,máng lù,[sound:忙碌.mp3]
脆弱,weak; fragile; flimsy; frail,cuì ruò,[sound:脆弱.mp3]
跪,kneel,guì,[sound:跪.mp3]
登录,sign-in,dēng lù,[sound:登录.mp3]
镜头,"camera shot (in a movie, etc.); scene; camera lens",jìng tóu,[sound:镜头.mp3]
抵抗,resist; resistance,dǐ kàng,[sound:抵抗.mp3]
玉,jade (Kangxi radical 96),yù,[sound:玉.mp3]
灵感,inspiration; insight; a burst of creativity in scientific or artistic endeavor,líng gǎn,[sound:灵感.mp3]
粒,a grain; granule; (mw for grain-like things),lì,[sound:粒.mp3]
扎,to prick; push a needle into; penetrating,zhā,[sound:扎.mp3]
版本,edition,bǎn běn,[sound:版本.mp3]
崩溃,collapse; crumble; fall apart,bēng kuì,[sound:崩溃.mp3]
家伙,guy; chap; tool; weapon,jiā huo,[sound:家伙.mp3]
财富,wealth; riches; fortune,cái fù,[sound:财富.mp3]
本身,itself; in itself; per se,běn shēn,[sound:本身.mp3]
偶像,Idol,ǒu xiàng,[sound:偶像.mp3]
屏幕,"screen (TV, etc.)",píng mù,[sound:屏幕.mp3]
素质,inner quality; basic essence; character quality,sù zhì,[sound:素质.mp3]
动力,power; motion; impetus; driving force,dòng lì,[sound:动力.mp3]
无比,matchless; incomparable,wú bǐ,[sound:无比.mp3]
娃娃,baby; child; doll,wá wa,[sound:娃娃.mp3]
屁股,butt; rear; rump,pì gu,[sound:屁股.mp3]
折腾,toss from side to side (e.g. sleeplessly); do something over and over again; cause suffering; play crazy; screw around,zhē teng,[sound:折腾.mp3]
脂肪,body fat,zhī fáng,[sound:脂肪.mp3]
论坛,forum,lùn tán,[sound:论坛.mp3]
渴望,wishful; to yearn for; desire,kě wàng,[sound:渴望.mp3]
扑,to assault; rush at; throw oneself on,pū,[sound:扑.mp3]
塔,pagoda; tower,tǎ,[sound:塔.mp3]
丁,male adult; robust; cubes (of food); T-shaped (4th Heavenly Stem),dīng,[sound:丁.mp3]
鄙视,despise; disdain; look down upon,bǐ shì,[sound:鄙视.mp3]
羽绒服,down jacket,yǔ róng fú,[sound:羽绒服.mp3]
民主,democracy,mín zhǔ,[sound:民主.mp3]
折磨,persecute; to torture,zhé mo,[sound:折磨.mp3]
宽容,tolerant; lenient,kuān róng,[sound:宽容.mp3]
展现,come out; emerge; express; show,zhǎn xiàn,[sound:展现.mp3]
肺,lung,fèi,[sound:肺.mp3]
叼,hold sth. in the mouth,diāo,[sound:叼.mp3]
机构,structure; organization; institution,jī gòu,[sound:机构.mp3]
需求,requirement; demand (economics),xū qiú,[sound:需求.mp3]
呵,breathe out; scold,hē,[sound:呵.mp3]
染,dye; to catch (a disease),rǎn,[sound:染.mp3]
创业,begin an undertaking; start a major task; start a company,chuàng yè,[sound:创业.mp3]
操作,operate; manipulate,cāo zuò,[sound:操作.mp3]
危机,crisis,wēi jī,[sound:危机.mp3]
突破,break through; breakthrough,tū pò,[sound:突破.mp3]
循环,circular cycle; loop; circulate,xún huán,[sound:循环.mp3]
趴,lie on one's stomach,pā,[sound:趴.mp3]
清醒,clear-headed; sober; regain consciousness,qīng xǐng,[sound:清醒.mp3]
在意,care about; mind; care,zài yì,[sound:在意.mp3]
震撼,to shake,zhèn hàn,[sound:震撼.mp3]
曝光,to expose; to make public,bào guāng,[sound:曝光.mp3]
愤怒,angry; indignant; furious; anger; indignation; wrath; ire,fèn nù,[sound:愤怒.mp3]
震惊,shock; astonish; amaze,zhèn jīng,[sound:震惊.mp3]
悲哀,grieved; sorrowful; sad,bēi āi,[sound:悲哀.mp3]
欲望,desire; lust,yù wàng,[sound:欲望.mp3]
创新,innovate; innovation,chuàng xīn,[sound:创新.mp3]
精致,exquisite; delicate; refined,jīng zhì,[sound:精致.mp3]
回报,repayment; payback,huí bào,[sound:回报.mp3]
清晰,clear; distinct; clarity,qīng xī,[sound:清晰.mp3]
心得,knowledge gained,xīn dé,[sound:心得.mp3]
给予,to give,jǐ yǔ,[sound:给予.mp3]
绝望,desperation; forlorn; hopeless,jué wàng,[sound:绝望.mp3]
当前,current; modern; present,dāng qián,[sound:当前.mp3]
宁愿,would rather; better,nìng yuàn,[sound:宁愿.mp3]
拜年,congratulate the New Year; wish sb. a Happy New Year,bài nián,[sound:拜年.mp3]
嫌,to dislike; suspicion; grudge,xián,[sound:嫌.mp3]
交易,business transaction; deal; trade,jiāo yì,[sound:交易.mp3]
宇宙,universe; cosmos,yǔ zhòu,[sound:宇宙.mp3]
煎,pan-fry; fry in shallow oil,jiān,[sound:煎.mp3]
降临,befall; descend,jiàng lín,[sound:降临.mp3]
永恒,eternal; everlasting,yǒng héng,[sound:永恒.mp3]
串,string together; conspire; gang up; mix up; bunch,chuàn,[sound:串.mp3]
华丽,gorgeous; magnificent,huá lì,[sound:华丽.mp3]
人性,human nature; humanity,rén xìng,[sound:人性.mp3]
智商,IQ (intelligence quotient),zhì shāng,[sound:智商.mp3]
超越,surpass; exceed; transcend,chāo yuè,[sound:超越.mp3]
思维,(line) of thought; thinking,sī wéi,[sound:思维.mp3]
随意,as one wishes; according to one's wishes,suí yì,[sound:随意.mp3]
忽略,ignore; forget about; neglect,hū lüè,[sound:忽略.mp3]
金融,banking finance; financial,jīn róng,[sound:金融.mp3]
依赖,depend on; be dependent on,yī lài,[sound:依赖.mp3]
漫画,comics; manga,màn huà,[sound:漫画.mp3]
年度,"year (e.g. school year, fiscal year, etc.); annual",nián dù,[sound:年度.mp3]
憋,hold in (urine); hold (breath); choke,biē,[sound:憋.mp3]
灿烂,to glitter; brilliant; splendid,càn làn,[sound:灿烂.mp3]
幼稚,childish; naïve; immature,yòu zhì,[sound:幼稚.mp3]
规划,plan; program; project,guī huà,[sound:规划.mp3]
防止,prevent; protect; guard against; avoid,fáng zhǐ,[sound:防止.mp3]
拨,to dial; move with a hand/foot; stir; poke; allocate (money),bō,[sound:拨.mp3]
欺骗,deceive; to cheat; to dupe,qī piàn,[sound:欺骗.mp3]
角落,corner; nook,jiǎo luò,[sound:角落.mp3]
内涵,connotation,nèi hán,[sound:内涵.mp3]
提示,to prompt; to present; to point out; to draw attention to sth; hint; brief; cue,tí shì,[sound:提示.mp3]
生存,exist; survive,shēng cún,[sound:生存.mp3]
社区,community,shè qū,[sound:社区.mp3]
群众,the masses; multitude,qún zhòng,[sound:群众.mp3]
机遇,opportunity; stroke of good luck; favorable circumstance,jī yù,[sound:机遇.mp3]
意味着,signify; to mean; imply,yì wèi zhe,[sound:意味着.mp3]
饮食,food and drink; diet,yǐn shí,[sound:饮食.mp3]
品质,quality; character,pǐn zhì,[sound:品质.mp3]
刺,thorn; to sting; to prick; pierce; stab,cì,[sound:刺.mp3]
平凡,commonplace; ordinary,píng fán,[sound:平凡.mp3]
吊,hang; suspend,diào,[sound:吊.mp3]
迷人,charming; enchanting; cute,mí rén,[sound:迷人.mp3]
天生,innate; inherent; natural,tiān shēng,[sound:天生.mp3]
集团,group; bloc; circle; clique,jí tuán,[sound:集团.mp3]
尴尬,awkward; embarrassed,gāng à,[sound:尴尬.mp3]
婴儿,baby infant,yīng ér,[sound:婴儿.mp3]
残忍,brutal; bloody; merciless,cán rěn,[sound:残忍.mp3]
同志,comrade; gay (slang),tóng zhì,[sound:同志.mp3]
遥远,distant; remote,yáo yuǎn,[sound:遥远.mp3]
能量,energy; capabilities,néng liàng,[sound:能量.mp3]
款式,pattern; design; style,kuǎn shì,[sound:款式.mp3]
来源,source; originate,lái yuán,[sound:来源.mp3]
功效,efficiency; effectiveness,gōng xiào,[sound:功效.mp3]
任性,willful; headstrong,rèn xìng,[sound:任性.mp3]
抛弃,discard; abandon; dump (sb),pāo qì,[sound:抛弃.mp3]
捧,hold or carry with both hands facing up,pěng,[sound:捧.mp3]
患者,sufferer; patient; the sick,huàn zhě,[sound:患者.mp3]
钙,calcium,gài,[sound:钙.mp3]
铺,bed; store | to spread; to lay,pù | pū,[sound:铺.mp3]
神经,nerve,shén jīng,[sound:神经.mp3]
顿时,immediately; suddenly,dùn shí,[sound:顿时.mp3]
人间,man's world; the world,rén jiān,[sound:人间.mp3]
计较,focus excessively on; haggle; bicker; argue,jì jiào,[sound:计较.mp3]
中央,central; middle; center,zhōng yāng,[sound:中央.mp3]
兜,pocket; bag; wrap up (in a piece of cloth); move around (in a circle); canvass (solicit); take responsibility,dōu,[sound:兜.mp3]
执行,implementation; carry out; execute,zhí xíng,[sound:执行.mp3]
成本,"cost (manufacturing, production, etc.)",chéng běn,[sound:成本.mp3]
十足,full of; complete; 100 percent,shí zú,[sound:十足.mp3]
珍贵,precious,zhēn guì,[sound:珍贵.mp3]
支撑,support; prop up; crutch; brace,zhī chēng,[sound:支撑.mp3]
福利,material benefits; welfare; well-being,fú lì,[sound:福利.mp3]
打击,to strike; to hit; to attack,dǎ jī,[sound:打击.mp3]
坚定,firm; staunch; resolute,jiān dìng,[sound:坚定.mp3]
新娘,bride,xīn niáng,[sound:新娘.mp3]
犬,dog (Kangxi radical 94),quǎn,[sound:犬.mp3]
消除,eliminate; remove; clear up (abstract things）,xiāo chú,[sound:消除.mp3]
乐趣,delight; pleasure; joy; fun,lè qù,[sound:乐趣.mp3]
童话,fairy tale,tóng huà,[sound:童话.mp3]
疾病,disease; illness; sickness; ailment,jí bìng,[sound:疾病.mp3]
信仰,firm belief; faith; believe in (a religion),xìn yǎng,[sound:信仰.mp3]
不止,incessantly; more than,bù zhǐ,[sound:不止.mp3]
拼命,risk one's life; desperately; with all one's might,pīn mìng,[sound:拼命.mp3]
活力,energy; vitality; vigor,huó lì,[sound:活力.mp3]
感慨,lament; with a tinge of emotion or regret,gǎn kǎi,[sound:感慨.mp3]
类似,similar; analogous,lèi sì,[sound:类似.mp3]
恐惧,fear; dread; phobia,kǒng jù,[sound:恐惧.mp3]
包装,to pack; package; make up,bāo zhuāng,[sound:包装.mp3]
产业,industry; estate; property,chǎn yè,[sound:产业.mp3]
滋润,quenched; moist,zī rùn,[sound:滋润.mp3]
生物,organism; living creature; life form,shēng wù,[sound:生物.mp3]
起码,at the minimum; at the very least,qǐ mǎ,[sound:起码.mp3]
清洁,clean; unpolluted; purity,qīng jié,[sound:清洁.mp3]
基金,fund; endowment,jī jīn,[sound:基金.mp3]
精华,elite; best feature; most important part of an object; essence; quintessence,jīng huá,[sound:精华.mp3]
喉咙,throat; larynx,hóu lóng,[sound:喉咙.mp3]
指甲,fingernail,zhǐ jia,[sound:指甲.mp3]
过度,excessive; exceeding; lavishly,guò dù,[sound:过度.mp3]
圆满,satisfactory,yuán mǎn,[sound:圆满.mp3]
舞蹈,a dance,wǔ dǎo,[sound:舞蹈.mp3]
本事,ability; skill; capability; (-shì: this matter; literary source),běn shi,[sound:本事.mp3]
暧昧,ambiguous; shady,ài mèi,[sound:暧昧.mp3]
盛,contain; to ladle; to fill | flourishing; grand; abundant,chéng | shèng,[sound:盛.mp3]
翘,stick up; bend upwards,qiào,[sound:翘.mp3]
盯,to stare; to gaze,dīng,[sound:盯.mp3]
赠送,give as a present,zèng sòng,[sound:赠送.mp3]
期望,hope; expectation,qī wàng,[sound:期望.mp3]
哭泣,weep; cry; sob,kū qì,[sound:哭泣.mp3]
展示,open up; reveal; to display,zhǎn shì,[sound:展示.mp3]
依靠,rely on; depend on,yī kào,[sound:依靠.mp3]
真理,truth,zhēn lǐ,[sound:真理.mp3]
往事,the past events; former happenings,wǎng shì,[sound:往事.mp3]
翼,wings; fins on fish; shelter,yì,[sound:翼.mp3]
统计,statistics; to tally; to add up,tǒng jì,[sound:统计.mp3]
腐败,corruption; corrupt; rotten,fǔ bài,[sound:腐败.mp3]
发觉,discover; detect,fā jué,[sound:发觉.mp3]
啃,gnaw; nibble; bite,kěn,[sound:啃.mp3]
掏,fish out (from pocket),tāo,[sound:掏.mp3]
眼光,vision,yǎn guāng,[sound:眼光.mp3]
外表,outward appearance; external; outside,wài biǎo,[sound:外表.mp3]
革命,revolution; revolutionary (politics); cause great social change; rise in revolt; take part in revolution,gé mìng,[sound:革命.mp3]
疲惫,beaten; exhausted; tired,pí bèi,[sound:疲惫.mp3]
潇洒,free and easy,xiāo sǎ,[sound:潇洒.mp3]
演绎,deduction; to deduce; to infer,yǎn yì,[sound:演绎.mp3]
保障,ensure; to guarantee; protect,bǎo zhàng,[sound:保障.mp3]
充实,substantial; rich; enrich; substantiate,chōng shí,[sound:充实.mp3]
滋味,taste; flavor; the way one feels,zī wèi,[sound:滋味.mp3]
哄,fool; coax; to amuse (a child),hǒng,[sound:哄.mp3]
意识,realize; consciousness; awareness; sense,yì shi,[sound:意识.mp3]
呈现,appear; emerge; present (a certain appearance),chéng xiàn,[sound:呈现.mp3]
发呆,stare blankly; daze off,fā dāi,[sound:发呆.mp3]
终究,in the end; after all is said and done; eventually,zhōng jiū,[sound:终究.mp3]
铜,copper,tóng,[sound:铜.mp3]
战斗,to fight; to battle; to struggle,zhàn dòu,[sound:战斗.mp3]
透露,divulge; to reveal; leak out,tòu lù,[sound:透露.mp3]
代价,price; cost; expense,dài jià,[sound:代价.mp3]
面子,honor; reputation; prestige; face,miàn zi,[sound:面子.mp3]
贼,thief,zéi,[sound:贼.mp3]
井,a well,jǐng,[sound:井.mp3]
暴力,violence; (use) force,bào lì,[sound:暴力.mp3]
保养,take good care of (or conserve) one's health; keep in good repair,bǎo yǎng,[sound:保养.mp3]
莫名其妙,odd; baffling; unaccountable,mò míng qí miào,[sound:莫名其妙.mp3]
沉重,heavy; hard; serious,chén zhòng,[sound:沉重.mp3]
爆炸,explode; explosion; blow up,bào zhà,[sound:爆炸.mp3]
过于,too much; excessively,guò yú,[sound:过于.mp3]
细胞,cell (biology),xì bāo,[sound:细胞.mp3]
技巧,skill; technique,jì qiǎo,[sound:技巧.mp3]
流氓,rogue; hooligan; gangster,liú máng,[sound:流氓.mp3]
尊严,dignity; sanctity; honor,zūn yán,[sound:尊严.mp3]
考验,put to the test; trial,kǎo yàn,[sound:考验.mp3]
媳妇,daughter-in-law; son's wife,xí fù,[sound:媳妇.mp3]
并非,really isn't,bìng fēi,[sound:并非.mp3]
衰老,grow old; age; deteriorate,shuāi lǎo,[sound:衰老.mp3]
人格,personality; moral integrity; character,réng é,[sound:人格.mp3]
遭遇,befall; suffer; encounter,zāo yù,[sound:遭遇.mp3]
周边,surrounding,zhōu biān,[sound:周边.mp3]
即便,even if; even though,jí biàn,[sound:即便.mp3]
强迫,compel; to force,qiǎng pò,[sound:强迫.mp3]
斑,variety; speckled; spot; colored patch; stripe,bān,[sound:斑.mp3]
挨,get close to; in sequence,āi,[sound:挨.mp3]
番,(mw for acts or deeds); foreign,fān,[sound:番.mp3]
虚伪,false; hypocritical; artificial; sham,xū wěi,[sound:虚伪.mp3]
图案,design; pattern,tú àn,[sound:图案.mp3]
吉祥,lucky,jí xiáng,[sound:吉祥.mp3]
元素,element; element of a set; chemical element,yuán sù,[sound:元素.mp3]
背叛,betray; forsake,bèi pàn,[sound:背叛.mp3]
崇拜,worship; adore,chóng bài,[sound:崇拜.mp3]
膝盖,knee,xī gài,[sound:膝盖.mp3]
横,horizontal; across; (horizontal character stroke),héng,[sound:横.mp3]
挣扎,to struggle,zhēng zhá,[sound:挣扎.mp3]
流浪,drift about; wander,liú làng,[sound:流浪.mp3]
维持,maintain; preserve,wéi chí,[sound:维持.mp3]
向往,yearn for; look forward to,xiàng wǎng,[sound:向往.mp3]
艰难,difficult; arduous,jiān nán,[sound:艰难.mp3]
验证,inspect and verify,yàn zhèng,[sound:验证.mp3]
搓,rub or roll between the hands or fingers; to twist,cuō,[sound:搓.mp3]
完毕,finish; end; complete,wán bì,[sound:完毕.mp3]
忍受,to bear; endure; tolerate,rěn shòu,[sound:忍受.mp3]
战略,strategy,zhàn lüè,[sound:战略.mp3]
拜托,ask a favor; request; please!,bài tuō,[sound:拜托.mp3]
理智,reason; intellect; rational,lǐ zhì,[sound:理智.mp3]
设置,set up; install; to fit,shè zhì,[sound:设置.mp3]
装备,equipment; to equip; to outfit,zhuāng bèi,[sound:装备.mp3]
成交,complete a contract; clinch a deal; to seal,chéng jiāo,[sound:成交.mp3]
踏实,practical; down-to-earth; realistic; feel at ease; steadfast,tā shi,[sound:踏实.mp3]
实施,to implement; put into effect; carry out,shí shī,[sound:实施.mp3]
统统,totally; completely,tǒng tǒng,[sound:统统.mp3]
牺牲,"sacrifice (one's life, etc.)",xī shēng,[sound:牺牲.mp3]
淋,to drain; to drip; drench,lín,[sound:淋.mp3]
良心,conscience,liáng xīn,[sound:良心.mp3]
皱纹,wrinkle; furrow,zhòu wén,[sound:皱纹.mp3]
打包,get a doggy bag (at a restaurant); pack up,dǎ bāo,[sound:打包.mp3]
偏偏,unexpectedly; contrary to expectations,piān piān,[sound:偏偏.mp3]
仪式,ceremony,yí shì,[sound:仪式.mp3]
垫,cushion; to pad; pay for somebody and expect to be repaid,diàn,[sound:垫.mp3]
天才,talent; gift; a genius; talented,tiān cái,[sound:天才.mp3]
联想,to associate (cognitively); to make an associative connection; mental association; word prediction and auto-complete functions of input method editing programs; abbr. for 联想集团 Lenovo Group (PRC computer firm),lián xiǎng,[sound:联想.mp3]
主办,to host (a conference or sports event),zhǔ bàn,[sound:主办.mp3]
成员,member,chéng yuán,[sound:成员.mp3]
挫折,setback; defeat; frustration,cuò zhé,[sound:挫折.mp3]
队伍,ranks; troops,duì wu,[sound:队伍.mp3]
亲密,intimate; close; familiarity,qīn mì,[sound:亲密.mp3]
带领,to guide; to lead,dài lǐng,[sound:带领.mp3]
乘,to ride; to mount; make use of; multiply,chéng,[sound:乘.mp3]
州,province; sub-prefecture; (United States) state,zhōu,[sound:州.mp3]
清晨,early morning,qīng chén,[sound:清晨.mp3]
诞生,be born; come into being,dàn shēng,[sound:诞生.mp3]
民间,among the people; popular; folk,mín jiān,[sound:民间.mp3]
主流,main stream (of a river); the essential point,zhǔ liú,[sound:主流.mp3]
资本,(Economics) capital; asset,zī běn,[sound:资本.mp3]
纯洁,pure; unadulterated; cleanse,chún jié,[sound:纯洁.mp3]
守护,guard; defend; protect,shǒu hù,[sound:守护.mp3]
无知,ignorance,wú zhī,[sound:无知.mp3]
通用,in common use; interchangeable; General Motors,tōng yòng,[sound:通用.mp3]
主义,-ism; ideology,zhǔ yì,[sound:主义.mp3]
典型,typical case; model,diǎn xíng,[sound:典型.mp3]
丸,pill; pellet,wán,[sound:丸.mp3]
枕头,pillow,zhěn tou,[sound:枕头.mp3]
把手,knob; handle; grip,bǎ shou,[sound:把手.mp3]
麻痹,paralysis; palsy; numbness,má bì,[sound:麻痹.mp3]
揍,(informal) beat; hit; (regional) smash; break,zòu,[sound:揍.mp3]
要命,cause somebody's death; very; extremely; frighteningly; annoyance,yào mìng,[sound:要命.mp3]
创作,create; to produce; creative work,chuàng zuò,[sound:创作.mp3]
节奏,rhythm; cadence; tempo,jié zòu,[sound:节奏.mp3]
漫长,very long; endless,màn cháng,[sound:漫长.mp3]
情节,plot; circumstances,qíng jié,[sound:情节.mp3]
罐,can; jar; pot; pitcher; jug,guàn,[sound:罐.mp3]
残酷,cruel,cán kù,[sound:残酷.mp3]
炫耀,to show off; flaunt,xuàn yào,[sound:炫耀.mp3]
混合,to mix; to blend,hùn hé,[sound:混合.mp3]
维护,defend; to safeguard; defense; maintain,wéi hù,[sound:维护.mp3]
喜悦,happy; joyous,xǐ yuè,[sound:喜悦.mp3]
目光,sight; vision; view,mù guāng,[sound:目光.mp3]
陷入,sink into; get caught up in; land in (a predicament),xiàn rù,[sound:陷入.mp3]
感染,infection; infect; influence,gǎn rǎn,[sound:感染.mp3]
奢侈,luxury; sumptuous; extravagant,shē chǐ,[sound:奢侈.mp3]
扛,to carry on one's shoulder,káng,[sound:扛.mp3]
忍耐,show restraint; endure; exercise patience,rěn nài,[sound:忍耐.mp3]
固执,persistent; stubborn,gù zhí,[sound:固执.mp3]
无耻,without any sense of shame; shameless; audaciousness,wú chǐ,[sound:无耻.mp3]
症状,symptom (of an illness),zhèng zhuàng,[sound:症状.mp3]
